state,total_cases,cases_last_7days,cases_per_100k,cases_per_100k_last_7days,total_deaths,deaths_last_7days,deaths_per_100k,deaths_per_100k_last_7days,num_tests,percent_positives,tests_per_100k,white_percent_cases,white_percent_pop...14,black_percent_cases,black_percent_pop...16,hispanic_percent_cases,hispanic_percent_pop...18,other_percent_cases,other_percent_pop...20,white_percent_deaths,white_percent_pop...22,black_percent_deaths,black_percent_pop...24,hispanic_percent_deaths,hispanic_percent_pop...26,other_percent_deaths,other_percent_pop...28,state_emergency,close_nonessential_business,reopen_business_statewide,shelter_in_place,end_shelter_in_place,length_shelter_in_place,mandate_facemask,no_enforcement_facemask,mandate_facemask_employee,end_statewide_mandate_facemask,governor,political_party_governor,pop_density_sq_mi,population_2018,nonelderly_preexisting_cond,percent_risk_serious,all_deaths_2018,num_homeless_2019,percent_state_medicaid_expend,life_expectancy,percent_unemployed_2018,percent_povertyline_2018,weekly_max_ui_w_stimulus,median_annual_household_income,children_0_18,adults_19_25,adults_26_34,adults_35_54,adults_55_64,adults_65+,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,state_abre,reopen_state_bus,reopen_restaurants,length_restaurants,reopen_outdoor_dining_only,reopen_gyms,length_gym,reopen_movie_theaters,reopen_hair_salons,reopen_religious,length_religious,reopen_non-essential_retail,reopen_bars,length_bars,reopen_childcare
Alabama,189149,12085,3870,35.3,2914,71,59,0.2,2103005,11-20%,43024,0.52,0.68,0.34,0.27,0.1,0.04,0.14000000000000001,0.04,0.57999999999999996,0.68,0.39,0.27,0.03,0.04,0.03,0.04,2020-03-13T00:00:00Z,2020-03-28,1950-04-29,2020-04-04,2020-04-30,26,2020-07-16,1,2020-05-11,1899-12-30,Kay Ivey (R),Republican,93.24,4887871,956536,43.1,54352,3261,0.24,75.5,5.6,16.8,875,73181,0.24,0.09,0.12,0.25,0.14,0.17,-11,-6,20,-8,-22,5,AL,2020-04-30,2020-05-11,144,0,2020-05-11,144,2020-05-22,2020-05-11,2020-05-11,144,2020-04-30,2020-05-11,144,2020-05-23
Alaska,14456,2619,1960,50.7,77,9,10,0.2,795937,0-5%,107932,0.43,0.64,0.05,0.03,0.12,0.07,0.11,0.1,0.38,0.64,0.05,0.03,0.02,0.07,0,0.1,2020-03-11T00:00:00Z,2020-03-24,1950-04-23,2020-03-28,2020-04-24,27,2020-04-24,0,2020-04-24,2020-05-22,Mike Dunleavy (R),Republican,1.11,737438,119208,32.8,4453,1907,0.2,78.8,6.8,10.9,970,56581,0.27,0.09,0.13,0.26,0.13,0.12,-9,-7,21,-26,-24,10,AK,2020-04-24,2020-04-24,161,0,2020-05-08,147,2020-05-08,2020-04-24,2020-05-08,147,2020-04-24,2020-05-08,147,1899-12-30
Arizona,242480,7574,3381,15.1,5918,59,82,0.1,2356325,6-10%,32856,0.37,0.54,0.04,0.04,0.44,0.32,0.05,0.02,0.48,0.54,0.03,0.04,0.34,0.32,0.02,0.02,2020-03-11T00:00:00Z,2020-03-31,1950-05-07,2020-03-31,2020-05-16,46,1899-12-30,0,2020-05-08,1899-12-30,Doug Ducey (R),Republican,62.91,7171646,1144927,39.1,59282,10007,0.33,79.900000000000006,5.4,14,840,45869,0.24,0.09,0.12,0.24,0.12,0.18,-18,-11,-11,-21,-33,9,AZ,2020-05-08,2020-05-11,144,0,2020-05-13,142,2020-05-16,2020-05-08,1899-12-30,0,2020-05-08,2020-05-16,139,1899-12-30
Arkansas,109712,6914,3640,32.8,1894,122,62,0.6,1304131,6-10%,43271,0.66,0.77,0.23,0.15,0.16,0.08,7.0000000000000007E-2,0.06,0.7,0.77,0.2,0.15,0.05,0.08,0.05,0.06,2020-03-11T00:00:00Z,2020-04-06,1950-05-03,1899-12-30,1899-12-30,0,2020-07-20,0,2020-05-11,1899-12-30,Asa Hutchinson (R),Republican,56.67,3013825,597470,43.5,32336,2717,0.28000000000000003,76,4.5,17.2,1051,71805,0.25,0.09,0.12,0.25,0.13,0.17,-7,-4,66,-3,-22,5,AR,2020-05-04,2020-05-11,144,0,2020-05-04,151,2020-05-18,2020-05-06,1899-12-30,0,2020-05-18,2020-05-19,136,1899-12-30
California,912904,32180,2308,11.6,17541,352,44,0.1,18098631,6-10%,45753,0.17,0.37,0.04,0.05,0.61,0.39,0.11,0.03,0.3,0.37,7.0000000000000007E-2,0.05,0.49,0.39,0.01,0.03,2020-03-04T00:00:00Z,2020-03-19,1950-05-07,2020-03-19,1899-12-30,221,2020-06-18,1,2020-05-05,1899-12-30,Gavin Newsom (D),Democratic,241.65,39557045,6093131,33.3,268818,151278,0.32,81.3,5.5,12.8,1050,69117,0.24,0.09,0.14,0.26,0.12,0.14,-26,-11,-12,-39,-36,12,CA,2020-05-08,2020-05-18,137,0,1899-12-30,0,1899-12-30,2020-08-28,2020-05-25,130,2020-05-08,1899-12-30,0,1899-12-30
Colorado,102014,11792,1791,29.6,2268,70,39,0.2,1729772,0-5%,30370,0.46,0.68,0.04,0.04,0.43,0.22,0.03,0.03,0.63,0.68,0.06,0.04,0.24,0.22,0.03,0.03,2020-03-11T00:00:00Z,2020-03-19,1950-04-30,2020-03-26,2020-04-27,32,2020-07-16,0,2020-04-23,1899-12-30,Jared Polis  (D),Democratic,54.72,5695564,789133,31.3,38526,9619,0.24,80.5,3.9,9.6,1218,74168,0.24,0.09,0.14,0.26,0.13,0.14,-19,-6,-5,-31,-34,11,CO,2020-05-01,2020-05-27,128,0,2020-06-04,120,2020-06-18,2020-05-01,2020-06-04,120,2020-05-01,2020-06-18,106,1899-12-30
Connecticut,70446,5073,1972,20.3,4609,40,129,0.2,1312481,6-10%,36736,0.49,0.66,0.17,0.1,0.28000000000000003,0.17,0.03,0.02,0.74,0.66,0.15,0.1,0.09,0.17,0.01,0.02,2020-03-10T00:00:00Z,2020-03-23,1950-05-19,1899-12-30,2020-05-20,0,2020-04-20,1,2020-04-03,1899-12-30,Ned Lamont (D),Democratic,644.54,3572665,529120,36,31230,3033,0.24,80.900000000000006,5.5,10.4,1249,62852,0.22,0.08,0.11,0.27,0.15,0.17,-15,-9,32,-23,-27,9,CT,2020-05-20,2020-05-20,135,1,2020-06-17,107,2020-06-17,2020-06-01,2020-05-29,126,2020-05-20,1899-12-30,0,1899-12-30
Delaware,24553,866,2539,12.8,689,11,71,0.2,551651,0-5%,57037,0.42,0.62,0.28000000000000003,0.21,0.23,0.09,0.05,0.03,0.65,0.62,0.26,0.21,7.0000000000000007E-2,0.09,0.02,0.03,2020-03-13T00:00:00Z,2020-03-24,1950-05-07,2020-03-24,2020-06-01,69,2020-04-28,0,2020-05-01,1899-12-30,John Carney (D),Democratic,388.58,967171,159824,41.3,9433,921,0.21,78.7,5.7,12.5,1000,82372,0.22,0.08,0.12,0.25,0.14,0.19,-11,-4,36,-34,-30,9,DE,2020-05-08,2020-06-01,123,0,2020-06-01,123,2020-06-01,2020-06-08,2020-05-20,135,2020-05-20,2020-06-15,109,2020-06-15
District of Columbia,17074,537,2431,10.9,645,3,91,0.1,566410,0-5%,80632,0.23,0.42,0.5,0.46,0.27,0.11,0.25,0.08,0.11,0.37,0.75,0.45,0.13,0.11,0,0.03,2020-03-11T00:00:00Z,2020-03-25,1950-05-28,2020-04-01,2020-05-29,58,2020-04-17,0,2020-04-15,1899-12-30,Mayor Muriel Bowser (D),Democratic,11496.81,702455,113157,31.8,5008,6521,N/A,78.5,7.5,16.2,1044,52594,0.2,0.1,0.21,0.27,0.1,0.12,-45,-19,-29,-64,-53,17,DC,2020-05-29,2020-05-29,126,1,2020-06-22,102,2020-06-22,2020-05-29,2020-06-22,102,2020-06-22,2020-05-29,126,1899-12-30
Florida,784331,26025,3682,17.5,16648,381,78,0.3,11454463,11-20%,53778,0.36,0.53,0.18,0.15,0.37,0.26,0.09,0.02,0.51,0.53,0.19,0.15,0.26,0.26,0.04,0.02,2020-03-09T00:00:00Z,2020-04-03,1950-05-17,2020-04-03,2020-05-18,45,1899-12-30,0,2020-05-11,1899-12-30,Ron DeSantis (R),Republican,323.9,21299325,3526493,42.1,205426,28328,0.32,80.099999999999994,5.2,13.6,875,56183,0.21,0.08,0.12,0.25,0.14,0.21,-20,-12,-19,-34,-29,8,FL,2020-05-18,2020-05-18,137,0,2020-05-18,137,2020-06-05,2020-05-11,1899-12-30,0,2020-05-18,2020-06-05,119,1899-12-30
Georgia,356848,11313,3392,15.4,7923,194,75,0.3,3382269,6-10%,32152,0.44,0.52,0.34,0.31,0.16,0.1,0.03,0.02,0.51,0.52,0.41,0.31,0.06,0.1,<.01,0.02,2020-03-14T00:00:00Z,2020-04-03,1950-04-30,2020-04-03,2020-05-01,28,1899-12-30,0,2020-04-27,1899-12-30,Brian Kemp (R),Republican,177.02,10519475,1805405,36.2,85202,10443,0.21,77.7,4.8,14.3,965,77765,0.26,0.09,0.12,0.27,0.12,0.14,-12,-6,58,-26,-28,6,GA,2020-05-01,2020-04-27,158,0,2020-04-24,161,2020-04-27,2020-04-24,1899-12-30,0,2020-04-23,2020-06-01,123,1899-12-30
Idaho,62746,6146,3577,50.1,615,62,35,0.5,601365,11-20%,34281,0.81,0.9,0.01,<.01,0.28000000000000003,0.13,0.14000000000000001,0.06,0.95,0.9,<.01,<.01,0.13,0.13,0.02,0.06,2020-03-13T00:00:00Z,2020-03-25,1950-04-30,2020-03-25,2020-05-01,37,1899-12-30,0,1899-12-30,1899-12-30,Brad Little (R),Republican,20.99,1754208,258519,36.2,14261,2315,0.27,79.400000000000006,4,11.8,1048,62992,0.27,0.09,0.12,0.24,0.12,0.16,-7,1,56,-5,-25,5,ID,2020-05-01,2020-05-16,139,0,2020-05-16,139,2020-05-30,2020-05-16,2020-05-01,154,2020-05-01,2020-05-30,125,1899-12-30
Illinois,400171,36425,3141,40.8,9945,298,78,0.3,6810326,6-10%,53451,0.43,0.61,0.17,0.14000000000000001,0.32,0.17,0.05,0.02,0.51,0.61,0.25,0.14000000000000001,0.2,0.17,<.01,0.02,2020-03-09T00:00:00Z,2020-03-21,1950-05-28,2020-03-21,2020-05-29,69,2020-05-01,0,2020-05-01,1899-12-30,J.B. Pritzker (D),Democratic,220,12741080,2044906,36.2,110022,10199,0.31,79.3,5.5,12.1,1084,54181,0.24,0.09,0.12,0.26,0.13,0.15,-21,-8,-11,-37,-33,12,IL,2020-05-29,2020-05-29,126,1,2020-05-29,126,2020-06-26,2020-05-29,2020-05-01,154,2020-05-29,2020-06-26,98,2020-05-29
Indiana,172730,17484,2581,37.3,4260,195,63,0.4,3198910,6-10%,47802,0.71,0.83,0.1,0.09,0.17,0.07,0.17,0.05,0.72,0.83,0.13,0.09,0.05,0.07,0.15,0.05,2020-03-06T00:00:00Z,2020-03-25,1950-05-17,2020-03-25,2020-05-18,54,2020-07-27,0,2020-05-01,1899-12-30,Eric Holcomb (R),Republican,183.74,6691878,1210376,39.9,65693,5471,0.34,77.400000000000006,4.4,13.1,990,58570,0.25,0.09,0.12,0.25,0.13,0.16,-11,-8,56,-3,-25,7,IN,2020-05-18,2020-05-18,137,0,2020-06-01,123,2020-06-12,2020-05-18,2020-05-08,147,2020-05-18,2020-06-12,112,1899-12-30
Iowa,122355,10544,3877,47.7,1696,95,53,0.4,1550099,6-10%,49113,0.89,0.9,0.06,0.03,0.13,0.06,0.01,0.03,0.92,0.9,0.04,0.03,0.05,0.06,<.01,0.03,2020-03-09T00:00:00Z,2020-03-26,1950-05-14,1899-12-30,1899-12-30,0,1899-12-30,0,1899-12-30,1899-12-30,Kim Reynolds  (R),Republican,56.09,3156145,466315,36.9,30367,2315,0.23,79.599999999999994,3.6,11.2,1081,56422,0.25,0.09,0.12,0.24,0.13,0.17,-2,8,37,-5,-19,5,IA,2020-05-15,2020-05-15,140,0,2020-05-15,140,2020-05-22,2020-05-15,2020-05-01,154,2020-05-15,2020-05-28,127,1899-12-30
Kansas,82045,7589,2818,37.2,1007,55,34,0.3,1082838,6-10%,37191,0.82,0.84,0.08,0.06,0.28999999999999998,0.12,7.0000000000000007E-2,0.06,0.78,0.84,0.11,0.06,0.14000000000000001,0.12,7.0000000000000007E-2,0.06,2020-03-12T00:00:00Z,2020-03-30,1950-05-03,2020-03-30,2020-05-04,35,2020-07-03,1,2020-07-03,1899-12-30,Laura Kelly (D),Democratic,35.39,2911505,465126,38,27537,2381,0.21,78.599999999999994,3.8,12,1088,48375,0.26,0.09,0.12,0.24,0.13,0.16,-6,-10,32,-1,-21,5,KS,2020-05-04,2020-05-04,151,0,2020-05-18,137,2020-05-22,2020-05-18,2020-05-04,151,2020-05-04,2020-06-08,116,1899-12-30
Kentucky,103305,11006,2312,35.2,1461,81,32,0.3,1469905,6-10%,32895,0.81,0.87,0.12,0.08,0.1,0.04,0.06,0.03,0.84,0.87,0.12,0.08,0.03,0.04,0.03,0.03,2020-03-06T00:00:00Z,2020-03-26,1950-05-10,1899-12-30,1899-12-30,0,2020-05-11,1,2020-05-11,1899-12-30,Andy Beshear (D),Democratic,110.58,4468402,890289,43.6,48707,4079,0.3,75.900000000000006,5.2,16.9,1152,46145,0.24,0.09,0.12,0.26,0.14,0.16,-15,-3,67,-4,-26,7,KY,2020-05-11,2020-05-22,133,0,2020-06-01,123,2020-06-01,2020-05-25,2020-05-09,146,2020-05-20,2020-06-29,95,2020-06-08
